"Código.do.Município","Município","Estado","Ano.de.Referência","Prestadores","Serviços","G06A...População.urbana.residente.do.s..município.s..com.abastecimento.de.água..Habitantes.","G06B...População.urbana.residente.do.s..município.s..com.esgotamento.sanitário..Habitantes.","G12A...População.total.residente.do.s..município.s..com.abastecimento.de.água..segundo.o.IBGE..Habitantes.","G12B...População.total.residente.do.s..município.s..com.esgotamento.sanitário..segundo.o.IBGE..Habitantes.","GE008...Quantidade.de.Sedes.municipais.atendidas.com.abastecimento.de.água..Sedes.","GE009...Quantidade.de.Sedes.municipais.atendidas.com.esgotamento.sanitário..Sedes.","GE010...Quantidade.de.Localidades..excluídas.as.sedes..atendidas.com.abastecimento.de.água..Localidades.","GE011...Quantidade.de.Localidades..excluídas.as.sedes..atendidas.com.esgotamento.sanitário..Localidades.","POP_TOT...População.total.do.município.do.ano.de.referência..Fonte..IBGE....Habitantes.","POP_URB...População.urbana.do.município.do.ano.de.referência..Fonte..IBGE....Habitantes."
"220045","Alvorada do Gurguéia","PI","2012","[22004511] Prefeitura Municipal de Alvorada do Gurguéia - PMAG; [22004540] PREFEITURA MUNICIPAL DE ALVORADA DO GURGUEIA - PMAGPI","Água; Res Sólidos","1895",,"5177",,"1",,"10",,"5177","1895"
"220045","Alvorada do Gurguéia","PI","2004","","",,,,,,,,,"4229","1485"
"220045","Alvorada do Gurguéia","PI","2006","[22004511] Prefeitura Municipal de Alvorada do Gurguéia - PMAG; [22004540] PREFEITURA MUNICIPAL DE ALVORADA DO GURGUEIA - PMAGPI","Água e Esgoto; Res Sólidos","1488","1488","4238","4238",,,"0","0","4238","1488"
"220045","Alvorada do Gurguéia","PI","2015","[22004511] Prefeitura Municipal de Alvorada do Gurguéia - PMAG; [22004540] PREFEITURA MUNICIPAL DE ALVORADA DO GURGUEIA - PMAGPI","Água; Res Sólidos","1932",,"5278",,"1",,"10",,"5278","1932"
"220045","Alvorada do Gurguéia","PI","1997","","",,,,,,,,,"4021","1412"
"220045","Alvorada do Gurguéia","PI","2002","","",,,,,,,,,"4219","1482"
"220045","Alvorada do Gurguéia","PI","2001","","",,,,,,,,,"4215","1480"
"220045","Alvorada do Gurguéia","PI","2005","","",,,,,,,,,"4234","1487"
"220045","Alvorada do Gurguéia","PI","2000","","",,,,,,,,,"4211","1479"
"220045","Alvorada do Gurguéia","PI","2011","[22004511] Prefeitura Municipal de Alvorada do Gurguéia - PMAG; [22004540] PREFEITURA MUNICIPAL DE ALVORADA DO GURGUEIA - PMAGPI","Água; Res Sólidos","1873",,"5115",,"1",,"10",,"5115","1873"
"220045","Alvorada do Gurguéia","PI","2014","[22004511] Prefeitura Municipal de Alvorada do Gurguéia - PMAG; [22004540] PREFEITURA MUNICIPAL DE ALVORADA DO GURGUEIA - PMAGPI","Água; Res Sólidos","1922",,"5249",,"1",,"10",,"5249","1922"
"220045","Alvorada do Gurguéia","PI","2009","[22004511] Prefeitura Municipal de Alvorada do Gurguéia - PMAG; [22004540] PREFEITURA MUNICIPAL DE ALVORADA DO GURGUEIA - PMAGPI","Água; Res Sólidos","1917",,"5209",,"1",,"0",,"5209","1917"
"220045","Alvorada do Gurguéia","PI","2013","[22004511] Prefeitura Municipal de Alvorada do Gurguéia - PMAG; [22004540] PREFEITURA MUNICIPAL DE ALVORADA DO GURGUEIA - PMAGPI","Água; Res Sólidos","1910",,"5216",,"1",,"10",,"5216","1910"
"220045","Alvorada do Gurguéia","PI","1998","","",,,,,,,,,"4006","1407"
"220045","Alvorada do Gurguéia","PI","1999","","",,,,,,,,,"3991","1402"
"220045","Alvorada do Gurguéia","PI","2003","","",,,,,,,,,"4222","1483"
"220045","Alvorada do Gurguéia","PI","2008","[22004511] Prefeitura Municipal de Alvorada do Gurguéia - PMAG; [22004540] PREFEITURA MUNICIPAL DE ALVORADA DO GURGUEIA - PMAGPI","Água; Res Sólidos","1884",,"5120",,,,"0",,"5120","1884"
"220045","Alvorada do Gurguéia","PI","2007","[22004511] Prefeitura Municipal de Alvorada do Gurguéia - PMAG; [22004540] PREFEITURA MUNICIPAL DE ALVORADA DO GURGUEIA - PMAGPI","Água; Res Sólidos","1831",,"4976",,,,"0",,"4976","1831"
"220045","Alvorada do Gurguéia","PI","2010","[22004511] Prefeitura Municipal de Alvorada do Gurguéia - PMAG; [22004540] PREFEITURA MUNICIPAL DE ALVORADA DO GURGUEIA - PMAGPI","Água; Res Sólidos","1849",,"5050",,"1",,"10",,"5050","1849"
"220070","Anísio de Abreu","PI","2013","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22007040] Prefeitura Municipal de Anísio de Abreu - PMAA","Água; Res Sólidos","4680",,"9456",,"1",,"0",,"9456","4680"
"220070","Anísio de Abreu","PI","2007","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","3829",,"8197",,"1",,"0",,"8197","3829"
"220070","Anísio de Abreu","PI","2010","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","4503",,"9098",,"1",,"0",,"9098","4503"
"220070","Anísio de Abreu","PI","2011","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","4575",,"9244",,"1",,"0",,"9244","4575"
"220070","Anísio de Abreu","PI","2003","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","3455",,"7394",,"1",,"0",,"7394","3455"
"220070","Anísio de Abreu","PI","2014","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","4717",,"9531",,"1",,"0",,"9531","4717"
"220070","Anísio de Abreu","PI","2012","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","4645",,"9385",,"1",,"0",,"9385","4645"
"220070","Anísio de Abreu","PI","2008","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","3940",,"8434",,"1",,"0",,"8434","3940"
"220070","Anísio de Abreu","PI","2005","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","3585",,"7673",,"1",,"0",,"7673","3585"
"220070","Anísio de Abreu","PI","2006","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","3624",,"7757",,"1",,"0",,"7757","3624"
"220070","Anísio de Abreu","PI","2002","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","3421",,"7322",,"1",,"0",,"7322","3421"
"220070","Anísio de Abreu","PI","2009","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","3995",,"8552",,"1",,"0",,"8552","3995"
"220070","Anísio de Abreu","PI","1996","","",,,,,,,,,"10021","2970"
"220070","Anísio de Abreu","PI","1995","","",,,,,,,,,"10156","3010"
