MUNICIPIO,GEOCODIGO,UF,MICROREGIAO,MESOREGIAO,NOME_UF,Município (ANA),COD_ANA,RESERVATORIO,TIPO DE MANANCIAL,TIPO DE SISTEMA,NOME DO SISTEMA
RIBEIRÃO DO LARGO,2926657,BA,ITAPETINGA,CENTRO SUL BAIANO,BAHIA,Ribeirão do Largo,Não_monitorado,Rio Ribeirão - BA,Superficial,Isolado,Isolado Ribeirão do Largo
RIO DE CONTAS,2926707,BA,SEABRA,CENTRO SUL BAIANO,BAHIA,Rio de Contas,Não_monitorado,Rio Brumado,Superficial,Isolado,Isolado Rio de Contas
RIO DE CONTAS,2926707,BA,SEABRA,CENTRO SUL BAIANO,BAHIA,Rio de Contas,Não_monitorado,Rio Gunduri,Superficial,Isolado,Isolado Rio de Contas
RIO DO ANTÔNIO,2926806,BA,BRUMADO,CENTRO SUL BAIANO,BAHIA,Rio do Antônio,Não_monitorado,Barragem Rio do Antônio,Superficial,Isolado,Isolado Rio do Antônio
RIO DO PIRES,2926905,BA,LIVRAMENTO DO BRUMADO,CENTRO SUL BAIANO,BAHIA,Rio do Pires,Não_monitorado,Rio do Pires,Superficial,Isolado,Isolado Rio do Pires
RODELAS,2927101,BA,PAULO AFONSO,VALE SÃO-FRANCISCANO DA BAHIA,BAHIA,Rodelas,Não_monitorado,Barragem de Itaparica - Rio São Francisco,Superficial,Isolado,Isolado Rodelas
RUY BARBOSA,2927200,BA,ITABERABA,CENTRO NORTE BAIANO,BAHIA,Ruy Barbosa,Não_monitorado,Rio Paraguaçu,Superficial,Integrado,Integrado Itaberaba
SANTA BÁRBARA,2927507,BA,FEIRA DE SANTANA,CENTRO NORTE BAIANO,BAHIA,Santa Bárbara,795,Barragem Pedra do Cavalo,Superficial,Integrado,Integrado Feira de Santana
SANTA BRÍGIDA,2927606,BA,JEREMOABO,NORDESTE BAIANO,BAHIA,Santa Brígida,Não_monitorado,Barragem PA IV (Rio São Francisco),Superficial,Integrado,Integrado Paulo Afonso IV
SANTA INĘS,2927903,BA,JEQUIÉ,CENTRO SUL BAIANO,BAHIA,Santa Inês,Não_monitorado,Rio das Almas - BA,Superficial,Integrado,Integrado Santa Inês
SANTA TERESINHA,2928505,BA,FEIRA DE SANTANA,CENTRO NORTE BAIANO,BAHIA,Santa Teresinha,Não_monitorado,Rio Paraguaçu,Superficial,Integrado,Integrado Milagres
SANTALUZ,2928000,BA,SERRINHA,NORDESTE BAIANO,BAHIA,Santaluz,Não_monitorado,Rio Itapicuru,Superficial,Integrado,Integrado Santaluz - Queimadas
SANTANA,2928208,BA,SANTA MARIA DA VITÓRIA,EXTREMO OESTE BAIANO,BAHIA,Santana,Não_monitorado,Rio Corrente - BA,Superficial,Integrado,Integrado Santana
SANTANA,2928208,BA,SANTA MARIA DA VITÓRIA,EXTREMO OESTE BAIANO,BAHIA,Santana,Não_monitorado,3 Poços de Santana,Subterrâneo,Isolado,Isolado Santana
SANTANÓPOLIS,2928307,BA,FEIRA DE SANTANA,CENTRO NORTE BAIANO,BAHIA,Santanópolis,795,Barragem Pedra do Cavalo,Superficial,Integrado,Integrado Feira de Santana
SANTO ESTĘVÃO,2928802,BA,FEIRA DE SANTANA,CENTRO NORTE BAIANO,BAHIA,Santo Estêvão,795,Barragem Pedra do Cavalo,Superficial,Integrado,Integrado Santo Estevão
SÃO DOMINGOS,2928950,BA,SERRINHA,NORDESTE BAIANO,BAHIA,São Domingos,12411,Barragem São José Jacuípe (Rio Jacuípe),Superficial,Integrado,Integrado Adutora do Sisal
SÃO FÉLIX DO CORIBE,2929057,BA,SANTA MARIA DA VITÓRIA,EXTREMO OESTE BAIANO,BAHIA,São Félix do Coribe,Não_monitorado,Rio Corrente - BA,Superficial,Isolado,Isolado São Félix do Coribe
SÃO GABRIEL,2929255,BA,IRECĘ,CENTRO NORTE BAIANO,BAHIA,São Gabriel,12279,Barragem de Mirorós (Rio Verde),Superficial,Integrado,Integrado Adutora do Feijão
SÃO JOSÉ DO JACUÍPE,2929370,BA,JACOBINA,CENTRO NORTE BAIANO,BAHIA,São José do Jacuípe,12411,Barragem São José Jacuípe (Rio Jacuípe),Superficial,Integrado,Integrado Adutora do Sisal
SÁTIRO DIAS,2929701,BA,ALAGOINHAS,NORDESTE BAIANO,BAHIA,Sátiro Dias,Não_monitorado,2 Poços Sátiro Dias,Subterrâneo,Isolado,Isolado Sátiro Dias
SAÚDE,2929800,BA,JACOBINA,CENTRO NORTE BAIANO,BAHIA,Saúde,Não_monitorado,Riacho do Buraco,Superficial,Isolado,Isolado Saúde
SAÚDE,2929800,BA,JACOBINA,CENTRO NORTE BAIANO,BAHIA,Saúde,Não_monitorado,Rio Cardoso - BA,Superficial,Isolado,Isolado Saúde
SAÚDE,2929800,BA,JACOBINA,CENTRO NORTE BAIANO,BAHIA,Saúde,Não_monitorado,Rio Paiaia,Superficial,Isolado,Isolado Saúde
SEABRA,2929909,BA,SEABRA,CENTRO SUL BAIANO,BAHIA,Seabra,Não_monitorado,4 Poços de Seabra,Subterrâneo,Isolado,Isolado Seabra 1
SEABRA,2929909,BA,SEABRA,CENTRO SUL BAIANO,BAHIA,Seabra,Não_monitorado,Riacho Prata,Superficial,Isolado,Isolado Seabra 2
SEBASTIÃO LARANJEIRAS,2930006,BA,GUANAMBI,CENTRO SUL BAIANO,BAHIA,Sebastião Laranjeiras,Não_monitorado,Nascente Lajedo,Subterrâneo,Isolado,Isolado Sebastião Laranjeiras
SENHOR DO BONFIM,2930105,BA,SENHOR DO BONFIM,CENTRO NORTE BAIANO,BAHIA,Senhor do Bonfim,12009,Barragem do Aipim,Superficial,Integrado,Integrado Senhor do Bonfim - Sr. do Bonfim
SENHOR DO BONFIM,2930105,BA,SENHOR DO BONFIM,CENTRO NORTE BAIANO,BAHIA,Senhor do Bonfim,Não_monitorado,Barragem do Prata,Superficial,Integrado,Integrado Senhor do Bonfim - Sr. do Bonfim
SENTO SÉ,2930204,BA,JUAZEIRO,VALE SÃO-FRANCISCANO DA BAHIA,BAHIA,Sento Sé,Não_monitorado,Lago Sobradinho,Superficial,Isolado,Isolado Sento Sé
SERRA DO RAMALHO,2930154,BA,BOM JESUS DA LAPA,VALE SÃO-FRANCISCANO DA BAHIA,BAHIA,Serra do Ramalho,Não_monitorado,Rio São Francisco,Superficial,Isolado,Isolado Serra do Ramalho
SERRA DOURADA,2930303,BA,SANTA MARIA DA VITÓRIA,EXTREMO OESTE BAIANO,BAHIA,Serra Dourada,Não_monitorado,Rio Corrente - BA,Superficial,Integrado,Integrado Santana
SERRA DOURADA,2930303,BA,SANTA MARIA DA VITÓRIA,EXTREMO OESTE BAIANO,BAHIA,Serra Dourada,Não_monitorado,Poços de Serra Dourada,Subterrâneo,Isolado,Isolado Serra Dourada
SERRA PRETA,2930402,BA,FEIRA DE SANTANA,CENTRO NORTE BAIANO,BAHIA,Serra Preta,795,Barragem Pedra do Cavalo,Superficial,Integrado,Integrado Santo Estevão
SERRINHA,2930501,BA,SERRINHA,NORDESTE BAIANO,BAHIA,Serrinha,Não_monitorado,Poços de Biritinga,Subterrâneo,Integrado,Integrado Serrinha - Conceição do Coité
SERROLÂNDIA,2930600,BA,JACOBINA,CENTRO NORTE BAIANO,BAHIA,Serrolândia,Não_monitorado,Barragem Serrolândia (Rio Jaqueira),Superficial,Isolado,Isolado Serrolândia 1
SERROLÂNDIA,2930600,BA,JACOBINA,CENTRO NORTE BAIANO,BAHIA,Serrolândia,12434,Açude Serrote (Riacho Ichu),Superficial,Isolado,Isolado Serrolândia 2
SÍTIO DO MATO,2930758,BA,BOM JESUS DA LAPA,VALE SÃO-FRANCISCANO DA BAHIA,BAHIA,Sítio do Mato,Não_monitorado,Rio Corrente - BA,Superficial,Isolado,Isolado Sítio do Mato
SÍTIO DO QUINTO,2930766,BA,JEREMOABO,NORDESTE BAIANO,BAHIA,Sítio do Quinto,Não_monitorado,2 Poços Sitio do Quinto,Subterrâneo,Isolado,Isolado Sítio do Quinto
SOBRADINHO,2930774,BA,JUAZEIRO,VALE SÃO-FRANCISCANO DA BAHIA,BAHIA,Sobradinho,Não_monitorado,Canal da Batateira/ São Francisco,Superficial,Isolado,Isolado Sobradinho 1
SOBRADINHO,2930774,BA,JUAZEIRO,VALE SÃO-FRANCISCANO DA BAHIA,BAHIA,Sobradinho,Não_monitorado,Lago do Sobradinho,Superficial,Isolado,Isolado Sobradinho 2
SOUTO SOARES,2930808,BA,IRECĘ,CENTRO NORTE BAIANO,BAHIA,Souto Soares,Não_monitorado,Poços de Souto Soares,Subterrâneo,Isolado,Isolado Souto Soares
TABOCAS DO BREJO VELHO,2930907,BA,COTEGIPE,EXTREMO OESTE BAIANO,BAHIA,Tabocas do Brejo Velho,Não_monitorado,Rio Corrente - BA,Superficial,Integrado,Integrado Santana
TABOCAS DO BREJO VELHO,2930907,BA,COTEGIPE,EXTREMO OESTE BAIANO,BAHIA,Tabocas do Brejo Velho,Não_monitorado,3 Poços Tabocas do Brejo Velho,Subterrâneo,Isolado,Isolado Tabocas do Brejo Velho
TANHAÇU,2931004,BA,BRUMADO,CENTRO SUL BAIANO,BAHIA,Tanhaçu,Não_monitorado,Rio dos Ourives,Superficial,Isolado,Isolado Tanhaçu
TANQUE NOVO,2931053,BA,BOQUIRA,CENTRO SUL BAIANO,BAHIA,Tanque Novo,12491,Açude Zabumbão,Superficial,Integrado,Integrado Paramirim
TANQUINHO,2931103,BA,FEIRA DE SANTANA,CENTRO NORTE BAIANO,BAHIA,Tanquinho,795,Barragem Pedra do Cavalo,Superficial,Integrado,Integrado Feira de Santana
TAPIRAMUTÁ,2931301,BA,ITABERABA,CENTRO NORTE BAIANO,BAHIA,Tapiramutá,Não_monitorado,Barragem Central (Rio Muquem),Superficial,Isolado,Isolado Tapiramutá
TEOFILÂNDIA,2931509,BA,SERRINHA,NORDESTE BAIANO,BAHIA,Teofilândia,Não_monitorado,Poços de Biritinga,Subterrâneo,Integrado,Integrado Serrinha - Conceição do Coité
TREMEDAL,2931806,BA,BRUMADO,CENTRO SUL BAIANO,BAHIA,Tremedal,12468,Barragem Tremendal (Rio da Ressaca),Superficial,Isolado,Isolado Tremedal
TUCANO,2931905,BA,EUCLIDES DA CUNHA,NORDESTE BAIANO,BAHIA,Tucano,Não_monitorado,Poços de Tucano,Subterrâneo,Isolado,Isolado Tucano
UAUÁ,2932002,BA,EUCLIDES DA CUNHA,NORDESTE BAIANO,BAHIA,Uauá,Não_monitorado,Barragem de Itaparica - Rio São Francisco,Superficial,Integrado,Integrado Caraiba Metais
UAUÁ,2932002,BA,EUCLIDES DA CUNHA,NORDESTE BAIANO,BAHIA,Uauá,Não_monitorado,Açude Rodeador - Riacho Lage do Mairi,Superficial,Isolado,Isolado Uauá
UBAÍRA,2932101,BA,JEQUIÉ,CENTRO SUL BAIANO,BAHIA,Ubaíra,Não_monitorado,Rio Mucuri - BA,Superficial,Isolado,Isolado Ubaíra
UIBAÍ,2932408,BA,IRECĘ,CENTRO NORTE BAIANO,BAHIA,Uibaí,12279,Barragem de Mirorós (Rio Verde),Superficial,Integrado,Integrado Adutora do Feijão
UMBURANAS,2932457,BA,SENHOR DO BONFIM,CENTRO NORTE BAIANO,BAHIA,Umburanas,Não_monitorado,Poços de Morro do Chapéu,Subterrâneo,Isolado,Isolado Umburanas
URANDI,2932606,BA,GUANAMBI,CENTRO SUL BAIANO,BAHIA,Urandi,Não_monitorado,Barragem Cabeceira (Rio Paramirim),Superficial,Isolado,Isolado Urandi
UTINGA,2932804,BA,SEABRA,CENTRO SUL BAIANO,BAHIA,Utinga,Não_monitorado,Rio Utinga - BA,Superficial,Isolado,Isolado Utinga
VALENTE,2933000,BA,SERRINHA,NORDESTE BAIANO,BAHIA,Valente,12411,Barragem São José Jacuípe (Rio Jacuípe),Superficial,Integrado,Integrado Adutora do Sisal
VÁRZEA DA ROÇA,2933059,BA,ITABERABA,CENTRO NORTE BAIANO,BAHIA,Várzea da Roça,12411,Barragem São José Jacuípe (Rio Jacuípe),Superficial,Isolado,Isolado Várzea da Roça
VÁRZEA DO POÇO,2933109,BA,JACOBINA,CENTRO NORTE BAIANO,BAHIA,Várzea do Poço,12411,Barragem São José Jacuípe (Rio Jacuípe),Superficial,Integrado,Integrado Mairi
VÁRZEA NOVA,2933158,BA,JACOBINA,CENTRO NORTE BAIANO,BAHIA,Várzea Nova,Não_monitorado,Poços de Várzea Nova,Subterrâneo,Isolado,Isolado Várzea Nova
VITÓRIA DA CONQUISTA,2933307,BA,VITÓRIA DA CONQUISTA,CENTRO SUL BAIANO,BAHIA,Vitória da Conquista,12008,Barragem Água Fria II,Superficial,Isolado,Isolado Vitória da Conquista
VITÓRIA DA CONQUISTA,2933307,BA,VITÓRIA DA CONQUISTA,CENTRO SUL BAIANO,BAHIA,Vitória da Conquista,Não_monitorado,Barragem Água Fria I,Superficial,Isolado,Isolado Vitória da Conquista
,,,,,BAHIA,Wagner,Não_monitorado,Rio Utinga - BA,Superficial,Isolado,Isolado Wagner
,,,,,BAHIA,Xique-Xique,Não_monitorado,Rio São Francisco,Superficial,Isolado,Isolado Xique-Xique
CRISÓPOLIS,2909604,BA,ALAGOINHAS,NORDESTE BAIANO,BAHIA,,,,,,
,,,,,CEARÁ,Abaiara,Não_monitorado,1 Poço Abaiara,Subterrâneo,Isolado,Abaiara
,,,,,CEARÁ,Acarape,12003,Açude Acarapé do Meio,Superficial,Integrado,Integrado Redenção-Acarape-Barreiras
ACOPIARA,2300309,CE,SERTÃO DE SENADOR POMPEU,SERTŐES CEARENSES,CEARÁ,Acopiara,Não_monitorado,Açude Raimundo Morais,Superficial,Isolado,Acopiara
ACOPIARA,2300309,CE,SERTÃO DE SENADOR POMPEU,SERTŐES CEARENSES,CEARÁ,Acopiara,12363,Açude Quincoê,Superficial,Isolado,Acopiara
AIUABA,2300408,CE,SERTÃO DE INHAMUNS,SERTŐES CEARENSES,CEARÁ,Aiuaba,12052,Açude Benguê,Superficial,Isolado,Aiuaba
ALCÂNTARAS,2300507,CE,MERUOCA,NOROESTE CEARENSE,CEARÁ,Alcântaras,Não_monitorado,Açude Pinga,Superficial,Isolado,Alcântaras
ALTANEIRA,2300606,CE,CARIRIAÇU,SUL CEARENSE,CEARÁ,Altaneira,12480,Açude Valério,Superficial,Isolado,Altaneira
ALTO SANTO,2300705,CE,BAIXO JAGUARIBE,JAGUARIBE,CEARÁ,Alto Santo,Não_monitorado,Conjunto de poços,Subterrâneo,Isolado,Alto Santo
ANTONINA DO NORTE,2300804,CE,VÁRZEA ALEGRE,CENTRO-SUL CEARENSE,CEARÁ,Antonina do Norte,12153,Açude Coronel,Superficial,Isolado,Antonina do Norte
APUIARÉS,2300903,CE,MÉDIO CURU,NORTE CEARENSE,CEARÁ,Apuiarés,Não_monitorado,Poço Amazonas (Rio Curu),Subterrâneo,Isolado,Apuiarés
ARACATI,2301109,CE,LITORAL DE ARACATI,JAGUARIBE,CEARÁ,Aracati,Não_monitorado,13 Poços,Subterrâneo,Isolado,Aracati
ARACOIABA,2301208,CE,BATURITÉ,NORTE CEARENSE,CEARÁ,Aracoiaba,12027,Açude Araçoiaba,Superficial,Integrado,Integrado Araçoiaba-Baturité
ARARENDÁ,2301257,CE,SERTÃO DE CRATÉUS,SERTŐES CEARENSES,CEARÁ,Ararendá,Não_monitorado,Poços de Ararendá,Subterrâneo,Isolado,Ararendá
ARARIPE,2301307,CE,CHAPADA DO ARARIPE,SUL CEARENSE,CEARÁ,Araripe,Não_monitorado,2 Poços Araripe,Subterrâneo,Integrado,Integrado Campos Sales-Salitre-Araripe
ARARIPE,2301307,CE,CHAPADA DO ARARIPE,SUL CEARENSE,CEARÁ,Araripe,Não_monitorado,Açude João Luis,Superficial,Isolado,Isolado Araripe
ARATUBA,2301406,CE,BATURITÉ,NORTE CEARENSE,CEARÁ,Aratuba,Não_monitorado,"4 Poços, 2 Poços Amazonas e Fonte",Subterrâneo,Isolado,Aratuba
ARNEIROZ,2301505,CE,SERTÃO DE INHAMUNS,SERTŐES CEARENSES,CEARÁ,Arneiroz,Não_monitorado,Açude Macuim,Superficial,Isolado,Arneiroz
ASSARÉ,2301604,CE,CHAPADA DO ARARIPE,SUL CEARENSE,CEARÁ,Assaré,12098,Açude Canoas,Superficial,Isolado,Assaré
AURORA,2301703,CE,BARRO,SUL CEARENSE,CEARÁ,Aurora,Não_monitorado,Poço Amazonas (Riacho Caiçara),Subterrâneo,Isolado,Aurora
BAIXIO,2301802,CE,LAVRAS DA MANGABEIRA,CENTRO-SUL CEARENSE,CEARÁ,Baixio,Não_monitorado,Poço Amazonas,Subterrâneo,Isolado,Baixio
BANABUIÚ,2301851,CE,SERTÃO DE QUIXERAMOBIM,SERTŐES CEARENSES,CEARÁ,Banabuiú,12039,Açude Banabuiú,Superficial,Isolado,Banabuiú
BARBALHA,2301901,CE,CARIRI,SUL CEARENSE,CEARÁ,Barbalha,Não_monitorado,Fonte do Camelo,Subterrâneo,Isolado,Barbalha
BARBALHA,2301901,CE,CARIRI,SUL CEARENSE,CEARÁ,Barbalha,Não_monitorado,Poços Barbalha,Subterrâneo,Isolado,Barbalha
BARREIRA,2301950,CE,CHOROZINHO,NORTE CEARENSE,CEARÁ,Barreira,12003,Açude Acarapé do Meio,Superficial,Integrado,Integrado Redenção-Acarape-Barreiras
BARRO,2302008,CE,BARRO,SUL CEARENSE,CEARÁ,Barro,Não_monitorado,12 Poços Barro,Subterrâneo,Isolado,Barro
BATURITÉ,2302107,CE,BATURITÉ,NORTE CEARENSE,CEARÁ,Baturité,12027,Açude Araçoiaba,Superficial,Integrado,Integrado Araçoiaba-Baturité
BATURITÉ,2302107,CE,BATURITÉ,NORTE CEARENSE,CEARÁ,Baturité,12461,Açude Tijuquinha,Superficial,Isolado,Isolado Baturité 1
BATURITÉ,2302107,CE,BATURITÉ,NORTE CEARENSE,CEARÁ,Baturité,Não_monitorado,16 Poços Baturité,Subterrâneo,Isolado,Isolado Baturité 2
BOA VIAGEM,2302404,CE,SERTÃO DE QUIXERAMOBIM,SERTŐES CEARENSES,CEARÁ,Boa Viagem,12489,Açude Vieirão,Superficial,Isolado,Boa Viagem
BREJO SANTO,2302503,CE,BREJO SANTO,SUL CEARENSE,CEARÁ,Brejo Santo,Não_monitorado,24 Poços Brejo Santo,Subterrâneo,Isolado,Brejo Santo
CAMPOS SALES,2302701,CE,CHAPADA DO ARARIPE,SUL CEARENSE,CEARÁ,Campos Sales,Não_monitorado,2 Poços Araripe,Subterrâneo,Integrado,Integrado Campos Sales-Salitre-Araripe
CAMPOS SALES,2302701,CE,CHAPADA DO ARARIPE,SUL CEARENSE,CEARÁ,Campos Sales,12341,Açude Poço da Pedra,Superficial,Isolado,Isolado Campos Sales
CANINDÉ,2302800,CE,CANINDÉ,NORTE CEARENSE,CEARÁ,Canindé,Não_monitorado,Açude Souza,Superficial,Isolado,Canindé
CAPISTRANO,2302909,CE,BATURITÉ,NORTE CEARENSE,CEARÁ,Capistrano,12113,Açude Castro,Superficial,Isolado,Capistrano
CARIDADE,2303006,CE,CANINDÉ,NORTE CEARENSE,CEARÁ,Caridade,12405,Açude São Domingos,Superficial,Isolado,Caridade
CARIRÉ,2303105,CE,SOBRAL,NOROESTE CEARENSE,CEARÁ,Cariré,Não_monitorado,3 Poços Cariré,Subterrâneo,Isolado,Cariré
CARIRIAÇU,2303204,CE,CARIRIAÇU,SUL CEARENSE,CEARÁ,Caririaçu,Não_monitorado,Açude Palestina,Superficial,Isolado,Caririaçu
CARIRIAÇU,2303204,CE,CARIRIAÇU,SUL CEARENSE,CEARÁ,Caririaçu,12405,Açude São Domingos,Superficial,Isolado,Caririaçu 2
CARIÚS,2303303,CE,VÁRZEA ALEGRE,CENTRO-SUL CEARENSE,CEARÁ,Cariús,Não_monitorado,Poço Amazonas (Rio Cariús),Subterrâneo,Integrado,Integrado Cariús-Jucás
CARIÚS,2303303,CE,VÁRZEA ALEGRE,CENTRO-SUL CEARENSE,CEARÁ,Cariús,Não_monitorado,Poço Amazonas (Rio Cariús),Subterrâneo,Isolado,Isolado Cariús
CARNAUBAL,2303402,CE,IBIAPABA,NOROESTE CEARENSE,CEARÁ,Carnaubal,12219,Açude Jaburu I,Superficial,Integrado,Integrado Jaburú ou Ibiapaba
CATARINA,2303600,CE,SERTÃO DE INHAMUNS,SERTŐES CEARENSES,CEARÁ,Catarina,12380,Açude Rivaldo de Carvalho,Superficial,Isolado,Catarina
CATUNDA,2303659,CE,SANTA QUITÉRIA,NOROESTE CEARENSE,CEARÁ,Catunda,12107,Açude Carmina,Superficial,Isolado,Catunda
CAUCAIA,2303709,CE,FORTALEZA,METROPOLITANA DE FORTALEZA,CEARÁ,Caucaia,12302,Açude Gavião / Riachão / Pacoti / Pavajus / Rio Jaguaribe(Canal do Trabalhador),Superficial,Integrado,Integrado Gavião  (Adutora Ancuri)
CEDRO,2303808,CE,IGUATU,CENTRO-SUL CEARENSE,CEARÁ,Cedro,Não_monitorado,Riacho São Miguel,Superficial,Isolado,Cedro
CHORÓ,2303931,CE,SERTÃO DE QUIXERAMOBIM,SERTŐES CEARENSES,CEARÁ,Choró,12352,Açude Pompeu Sobrinho,Superficial,Isolado,Choró
CHOROZINHO,2303956,CE,CHOROZINHO,NORTE CEARENSE,CEARÁ,Chorozinho,12302,Açude Pacoti,Superficial,Integrado,Integrado Pacajús-Horizonte e Chorozinho
CHOROZINHO,2303956,CE,CHOROZINHO,NORTE CEARENSE,CEARÁ,Chorozinho,12301,Açude Pacajus,Superficial,Integrado,Integrado Pacajús-Horizonte e Chorozinho
CHOROZINHO,2303956,CE,CHOROZINHO,NORTE CEARENSE,CEARÁ,Chorozinho,Não_monitorado,Rio Jaguaribe(Canal do Trabalhador),Superficial,Integrado,Integrado Pacajús-Horizonte e Chorozinho
COREAÚ,2304004,CE,COREAÚ,NOROESTE CEARENSE,CEARÁ,Coreaú,Não_monitorado,Açude Várzea da Volta,Superficial,Integrado,Integrado Moraújo-Coreaú
CRATEÚS,2304103,CE,SERTÃO DE CRATÉUS,SERTŐES CEARENSES,CEARÁ,Crateús,12109,Açude Carnaubal,Superficial,Isolado,Crateús
CRATO,2304202,CE,CARIRI,SUL CEARENSE,CEARÁ,Crato,Não_monitorado,Poços Crato,Subterrâneo,Isolado,Crato
CROATÁ,2304236,CE,IBIAPABA,NOROESTE CEARENSE,CEARÁ,Croatá,Não_monitorado,4 Poços Croatá,Subterrâneo,Isolado,Croatá
DEPUTADO IRAPUAN PINHEIRO,2304269,CE,SERTÃO DE SENADOR POMPEU,SERTŐES CEARENSES,CEARÁ,Deputado Irapuan Pinheiro,Não_monitorado,Poço Amazonas,Subterrâneo,Isolado,Deputado Irapuan Pinheiro
ERERĘ,2304277,CE,SERRA DO PEREIRO,JAGUARIBE,CEARÁ,Ererê,Não_monitorado,Poço Amazonas,Subterrâneo,Isolado,Ererê
ERERĘ,2304277,CE,SERRA DO PEREIRO,JAGUARIBE,CEARÁ,Ererê,Não_monitorado,Poço Ererê,Subterrâneo,Isolado,Ererê
FARIAS BRITO,2304301,CE,CARIRIAÇU,SUL CEARENSE,CEARÁ,Farias Brito,Não_monitorado,Poço Amazonas,Subterrâneo,Isolado,Farias Brito
FARIAS BRITO,2304301,CE,CARIRIAÇU,SUL CEARENSE,CEARÁ,Farias Brito,Não_monitorado,8 Poços Farias Brito,Subterrâneo,Isolado,Farias Brito
FORQUILHA,2304350,CE,SOBRAL,NOROESTE CEARENSE,CEARÁ,Forquilha,12187,Açude Forquilha,Superficial,Isolado,Forquilha
FRECHEIRINHA,2304509,CE,COREAÚ,NOROESTE CEARENSE,CEARÁ,Frecheirinha,Não_monitorado,1 Poço Frecheirinha,Subterrâneo,Isolado,Frecheirinha 1
FRECHEIRINHA,2304509,CE,COREAÚ,NOROESTE CEARENSE,CEARÁ,Frecheirinha,12023,Açude Angicos,Superficial,Isolado,Frecherinha 2
GENERAL SAMPAIO,2304608,CE,MÉDIO CURU,NORTE CEARENSE,CEARÁ,General Sampaio,12197,Açude General Sampaio,Superficial,Isolado,General Sampaio
GRAÇA,2304657,CE,SOBRAL,NOROESTE CEARENSE,CEARÁ,Graça,12219,Açude Jaburu I,Superficial,Integrado,Integrado Jaburú ou Ibiapaba
GRAÇA,2304657,CE,SOBRAL,NOROESTE CEARENSE,CEARÁ,Graça,Não_monitorado,Açude Sítio Escorregador (Caratinga),Superficial,Isolado,Isolado Graça
GRANJEIRO,2304806,CE,CARIRIAÇU,SUL CEARENSE,CEARÁ,Granjeiro,Não_monitorado,Açude Público,Superficial,Isolado,Granjeiro
GROAÍRAS,2304905,CE,SOBRAL,NOROESTE CEARENSE,CEARÁ,Groaíras,Não_monitorado,2 Poços Groaíras,Subterrâneo,Isolado,Groaíras
GUARACIABA DO NORTE,2305001,CE,IBIAPABA,NOROESTE CEARENSE,CEARÁ,Guaraciaba do Norte,12219,Açude Jaburu I,Superficial,Integrado,Integrado Jaburú ou Ibiapaba
GUARAMIRANGA,2305100,CE,BATURITÉ,NORTE CEARENSE,CEARÁ,Guaramiranga,Não_monitorado,2 PA e 3 poços,Subterrâneo,Isolado,Guaramiranga
HIDROLÂNDIA,2305209,CE,SANTA QUITÉRIA,NOROESTE CEARENSE,CEARÁ,Hidrolândia,12030,Açude Araras,Superficial,Isolado,Hidrolândia
HORIZONTE,2305233,CE,PACAJUS,METROPOLITANA DE FORTALEZA,CEARÁ,Horizonte,12302,Açude Pacoti,Superficial,Integrado,Integrado Pacajús-Horizonte e Chorozinho
HORIZONTE,2305233,CE,PACAJUS,METROPOLITANA DE FORTALEZA,CEARÁ,Horizonte,12301,Açude Pacajus,Superficial,Integrado,Integrado Pacajús-Horizonte e Chorozinho
HORIZONTE,2305233,CE,PACAJUS,METROPOLITANA DE FORTALEZA,CEARÁ,Horizonte,Não_monitorado,Rio Jaguaribe(Canal do Trabalhador),Superficial,Integrado,Integrado Pacajús-Horizonte e Chorozinho
IBARETAMA,2305266,CE,SERTÃO DE QUIXERAMOBIM,SERTŐES CEARENSES,CEARÁ,Ibaretama,Não_monitorado,Açude Santa Branca,Superficial,Isolado,Ibaretama
IBIAPINA,2305308,CE,IBIAPABA,NOROESTE CEARENSE,CEARÁ,Ibiapina,12219,Açude Jaburu I,Superficial,Integrado,Integrado Jaburú ou Ibiapaba
IBICUITINGA,2305332,CE,BAIXO JAGUARIBE,JAGUARIBE,CEARÁ,Ibicuitinga,Não_monitorado,Poço Amazonas(Rio Banabuiu),Subterrâneo,Isolado,Ibicuitinga
ICAPUÍ,2305357,CE,LITORAL DE ARACATI,JAGUARIBE,CEARÁ,Icapuí,Não_monitorado,2 Poços Icapuí,Subterrâneo,Isolado,Icapuí
ICÓ,2305407,CE,IGUATU,CENTRO-SUL CEARENSE,CEARÁ,Icó,12254,Açude Lima Campos,Superficial,Isolado,Icó
IGUATU,2305506,CE,IGUATU,CENTRO-SUL CEARENSE,CEARÁ,Iguatu,Não_monitorado,Poços Iguatu,Subterrâneo,Isolado,Iguatu 1
IGUATU,2305506,CE,IGUATU,CENTRO-SUL CEARENSE,CEARÁ,Iguatu,12471,Açude Trussu,Superficial,Isolado,Iguatu 2
INDEPENDENCIA,2305605,CE,SERTÃO DE CRATÉUS,SERTŐES CEARENSES,CEARÁ,Independência,12043,Açude Barra Velha,Superficial,Isolado,Independência
IPAPORANGA,2305654,CE,SERTÃO DE CRATÉUS,SERTŐES CEARENSES,CEARÁ,Ipaporanga,Não_monitorado,Poços de Ipaporanga,Subterrâneo,Isolado,Ipaporanga
